               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,            0.032631,            0.010248,           0.0061262,             0.98106,             0.99678,               0.995,             0.65524,           0.0081105,              0.0026,           0.0017056,            0.007228,            0.007228,            0.007228
                 142,            0.028224,           0.0087343,            0.006693,             0.86588,             0.99512,              0.9816,             0.69862,            0.010622,           0.0025697,           0.0017056,           0.0072082,           0.0072082,           0.0072082
                 143,            0.031301,           0.0087203,           0.0089205,              0.9878,             0.99666,               0.995,             0.71709,           0.0077098,           0.0023248,           0.0015677,           0.0071884,           0.0071884,           0.0071884
                 144,            0.024395,           0.0085174,           0.0067037,             0.99447,                   1,               0.995,             0.73935,           0.0082974,           0.0025048,           0.0015868,           0.0071686,           0.0071686,           0.0071686
                 145,            0.028473,           0.0074422,           0.0062348,             0.99426,                   1,               0.995,             0.59445,           0.0076856,           0.0024485,            0.001631,           0.0071488,           0.0071488,           0.0071488
                 146,            0.026175,           0.0066366,            0.008036,             0.99558,                   1,               0.995,             0.80594,           0.0070077,             0.00251,           0.0015536,            0.007129,            0.007129,            0.007129
                 147,            0.029717,           0.0065985,            0.009569,             0.99256,                   1,               0.995,             0.66153,            0.010886,           0.0025376,           0.0015511,           0.0071092,           0.0071092,           0.0071092
                 148,            0.033883,           0.0088984,           0.0065989,             0.99213,                   1,               0.995,              0.8069,           0.0075189,           0.0024349,           0.0015576,           0.0070894,           0.0070894,           0.0070894
                 149,            0.025623,           0.0057609,            0.005175,             0.99309,                   1,               0.995,             0.70936,           0.0095664,           0.0024279,           0.0015114,           0.0070696,           0.0070696,           0.0070696
                 150,            0.031924,           0.0087471,           0.0056405,             0.99177,             0.99996,               0.995,             0.70454,           0.0076204,           0.0023313,           0.0015803,           0.0070498,           0.0070498,           0.0070498
                 151,            0.028748,            0.008747,            0.006743,             0.98943,             0.99802,               0.995,             0.73166,           0.0086068,           0.0023469,           0.0016318,             0.00703,             0.00703,             0.00703
                 152,            0.031584,           0.0069343,            0.007628,             0.99579,             0.98085,               0.995,             0.64368,            0.008435,           0.0023467,           0.0018442,           0.0070102,           0.0070102,           0.0070102
                 153,            0.030783,            0.007138,           0.0088314,             0.99163,             0.99809,               0.995,             0.74875,           0.0067452,           0.0022932,           0.0016002,           0.0069904,           0.0069904,           0.0069904
                 154,             0.02321,           0.0071151,           0.0046411,             0.99463,             0.99872,               0.995,             0.64186,           0.0095899,           0.0025418,           0.0015815,           0.0069706,           0.0069706,           0.0069706
